POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
200,Adam Gilchrist,106,25,8,9,RCB,HPCA Stadium,17 May 2011
201,AB de Villiers,129,25,10,12,GL,M. Chinnaswamy Stadium,14 May 2016
202,Shikhar Dhawan,54,25,8,2,RR,Sawai Mansingh Stadium,22 April 2019
203,David Miller,51,25,5,2,CSK,Chidambaram,02 May 2013
204,Dinesh Karthik,72,26,8,2,Delhi Capitals,Maharashtra Cricket Association Stadium,05 May 2024
205,Virat Kohli,57,26,7,2,RR,M. Chinnaswamy Stadium,15 April 2018
206,Manish Pandey,52,26,3,3,MI,Eden Gardens,13 April 2016
207,Mayank Agarwal,106,26,10,7,RR,Sharjah Cricket Stadium,27 September 2020
208,Shreyas Iyer,88,26,7,6,KKR,Sharjah Cricket Stadium,03 October 2020
209,Shikhar Dhawan,78,26,6,2,SRH,Zayed Cricket Stadium,08 November 2020
210,Deepak Hooda,62,26,3,4,CSK,Zayed Cricket Stadium,01 November 2020
211,AB de Villiers,82,26,7,6,SRH,M. Chinnaswamy Stadium,12 April 2016
212,Chris Gayle,73,26,4,8,PBKS,M. Chinnaswamy Stadium,18 May 2016
213,Dwayne Smith,53,26,5,3,DC,Arun Jaitley Stadium,27 April 2016
214,Steve Smith,50,26,7,2,PBKS,Sharjah Cricket Stadium,27 September 2020
215,David Warner,69,26,9,2,RR,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
216,KL Rahul,51,26,6,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
217,Rishabh Pant,78,26,6,4,RR,Sawai Mansingh Stadium,22 April 2019
218,AB de Villiers,64,26,8,1,CSK,Chidambaram,13 April 2013
219,Kane Williamson,54,26,4,2,PBKS,IS Bindra Stadium,28 April 2017
220,Graeme Smith,77,26,12,1,PBKS,Kingsmead,05 May 2009
221,Suresh Raina,98,26,10,5,RR,Supersport Park,30 April 2009
222,David Warner,60,26,10,1,PBKS,Brabourne - CCI,20 April 2022
223,Dinesh Karthik,66,26,5,5,DC,Wankhede Stadium,16 April 2022
224,Liam Livingstone,60,26,5,4,SRH,DY Patil Stadium,17 April 2022
225,Shivam Dube,57,26,6,3,PBKS,Brabourne - CCI,03 April 2022
226,Jos Buttler,95,26,11,2,CSK,Sawai Mansingh Stadium,11 May 2018
227,Karun Nair,50,26,7,2,MI,Wankhede Stadium,25 May 2014
228,Yusuf Pathan,62,26,3,6,DC,Supersport Park,28 April 2009
229,Sanath Jayasuriya,52,26,2,4,KKR,St George's Park,27 April 2009
230,Moises Henriques,55,26,6,2,RPS,Maharashtra Cricket Association's International Stadium,22 April 2017
231,Robin Uthappa,87,26,7,6,RPS,Maharashtra Cricket Association's International Stadium,26 April 2017
232,Kedar Jadhav,69,26,5,5,DC,M. Chinnaswamy Stadium,08 April 2017
233,Mahela Jayawardena,110,26,14,3,KKR,Eden Gardens,04 April 2010
234,Albie Morkel,62,26,3,5,RR,Chidambaram,03 April 2010
235,Andrew Symonds,54,26,3,5,DC,Arun Jaitley Stadium,18 April 2010
236,Shane Watson,58,26,6,4,PWI,Sawai Mansingh Stadium,13 May 2012
237,Rohit Sharma,50,26,3,4,PBKS,IS Bindra Stadium,23 May 2008
238,Albie Morkel,71,26,6,4,RR,Chidambaram,24 May 2008
239,Andre Russell,88,26,1,11,CSK,Chidambaram,10 April 2018
240,Sunil Narine,75,26,9,4,PBKS,Holkar Cricket Stadium,12 May 2018
241,Virat Kohli,70,26,7,3,DC,Arun Jaitley Stadium,12 May 2018
242,David Warner,109,26,10,7,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
243,Kamran Akmal,53,26,4,3,CSK,Chidambaram,24 May 2008
244,Mayank Agarwal,64,26,6,4,MI,M. Chinnaswamy Stadium,14 May 2012
245,Manish Pandey,61,27,9,0,RR,Sawai Mansingh Stadium,27 April 2019
246,Brendon McCullum,60,27,6,3,DC,Arun Jaitley Stadium,27 April 2016
247,Quinton de Kock,52,27,6,2,PBKS,IS Bindra Stadium,07 May 2016
248,Dinesh Karthik,51,27,8,1,KKR,Eden Gardens,08 May 2016
249,Robin Uthappa,68,27,5,4,SRH,Eden Gardens,15 April 2017
250,Rishabh Pant,97,27,6,9,GL,Arun Jaitley Stadium,04 May 2017
251,Yusuf Pathan,60,27,6,3,RCB,M. Chinnaswamy Stadium,02 May 2016
252,Wriddhiman Saha,87,27,12,2,DC,Dubai International Stadium,27 October 2020
253,Virender Sehwag,119,27,13,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
254,Shaun Marsh,95,27,9,6,DC,Arun Jaitley Stadium,23 April 2011
255,Chris Gayle,89,27,9,5,MI,Chidambaram,27 May 2011
256,Sanju Samson,85,27,4,7,PBKS,Sharjah Cricket Stadium,27 September 2020
257,Nicholas Pooran,53,27,6,3,DC,Dubai International Stadium,20 October 2020
258,Sanju Samson,54,27,4,3,MI,Zayed Cricket Stadium,25 October 2020
259,Lendl Simmons,59,27,5,4,PBKS,Wankhede Stadium,11 May 2017
260,Chris Lynn,54,27,8,2,MI,Eden Gardens,28 April 2019
261,Chris Gayle,61,27,6,3,PBKS,IS Bindra Stadium,06 May 2013
262,Ambati Rayudu,53,27,4,3,RR,Wankhede Stadium,01 May 2015
263,Prithvi Shaw,51,27,7,2,KKR,Brabourne - CCI,10 April 2022
264,Liam Livingstone,60,27,5,5,CSK,Brabourne - CCI,03 April 2022
265,Quinton De Kock,50,27,4,3,KKR,Maharashtra Cricket Association Stadium,07 May 2022
266,Devon Conway,87,27,7,5,DC,DY Patil Stadium,08 May 2022
267,Ambati Rayudu,79,27,9,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
268,Andre Russell,70,27,2,8,PBKS,Wankhede Stadium,01 April 2022
269,Devdutt Padikkal,101,27,11,6,RR,Wankhede Stadium,22 April 2021
270,Prithvi Shaw,72,27,9,3,CSK,Wankhede Stadium,10 April 2021
271,Dwayne Smith,50,27,6,3,RR,Dubai International Stadium,23 April 2014
272,Prithvi Shaw,60,27,7,3,CSK,Dubai International Stadium,10 October 2021
273,AB de Villiers,76,27,9,3,KKR,Chidambaram,18 April 2021
274,George Bailey,61,27,4,3,MI,Wankhede Stadium,12 April 2015
275,Rishabh Pant,61,27,5,4,RCB,Arun Jaitley Stadium,12 May 2018
276,Faf du Plessis,50,27,2,4,MI,Arun Jaitley Stadium,01 May 2021
277,Lendl Simmons,100,27,14,2,PBKS,IS Bindra Stadium,21 May 2014
278,Ishan Kishan,61,27,5,4,SRH,Green Park,13 May 2017
279,Dinesh Karthik,56,27,4,3,MI,Arun Jaitley Stadium,24 May 2008
280,Shaun Marsh,115,27,11,7,RR,IS Bindra Stadium,28 May 2008
281,Virender Sehwag,94,27,10,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008
282,Jason Roy,91,27,6,6,MI,Wankhede Stadium,14 April 2018
283,Quinton de Kock,70,27,4,6,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,08 May 2023
284,David Hussey,65,27,4,5,DEC,IS Bindra Stadium,13 May 2012
285,Virender Sehwag,57,27,5,4,PWI,Arun Jaitley Stadium,21 April 2012
286,Jos Buttler,82,27,9,1,PBKS,Sawai Mansingh Stadium,08 May 2018
287,Manvinder Bisla,89,27,8,5,CSK,Chidambaram,27 May 2012
288,Chris Gayle,68,27,2,6,CSK,Chidambaram,12 April 2012
289,Suresh Raina,73,27,3,5,KKR,Chidambaram,27 May 2012
290,Shane Watson,90,27,10,4,PWI,Maharashtra Cricket Association's International Stadium,08 May 2012
291,Azhar Mahmood,80,27,8,4,MI,HPCA Stadium,18 May 2013
292,Martin Guptill,50,27,6,3,DC,IS Bindra Stadium,30 April 2017
293,Ajinkya Rahane,60,27,6,3,MI,Maharashtra Cricket Association's International Stadium,06 April 2017
294,Manoj Tiwary,50,28,6,2,RCB,Eden Gardens,14 March 2010
295,Jonny Bairstow,80,28,7,4,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
296,Jonny Bairstow,97,28,7,6,PBKS,Dubai International Stadium,08 October 2020
297,Manish Pandey,83,28,4,8,RR,Dubai International Stadium,22 October 2020
298,Chris Gayle,99,28,10,5,RCB,IS Bindra Stadium,13 April 2019
299,Jonny Bairstow,114,28,12,7,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
300,Yuvraj Singh,58,28,5,2,CSK,Supersport Park,07 May 2009
301,Andrew Symonds,60,28,2,4,PBKS,De Beers Diamond Oval,09 May 2009
302,Rohit Sharma,52,28,1,5,RCB,Newlands,22 April 2009
303,Glenn Maxwell,89,28,8,6,RR,Sharjah Cricket Stadium,20 April 2014
304,Shane Watson,50,28,5,3,PBKS,Sharjah Cricket Stadium,20 April 2014
305,Yuvraj Singh,52,28,3,5,DC,Sharjah Cricket Stadium,17 April 2014
306,Michael Hussey,56,28,7,2,DC,Wankhede Stadium,23 May 2014
307,Ambati Rayudu,55,28,6,2,DEC,Brabourne Stadium,03 April 2010
308,Glenn Maxwell,78,28,9,3,KKR,Chidambaram,18 April 2021
309,Rahul Tripathi,53,28,5,2,SRH,Chidambaram,11 April 2021
310,MS Dhoni,66,28,6,3,KKR,Eden Gardens,16 March 2010
311,Michael Lumb,83,28,16,2,PBKS,Sawai Mansingh Stadium,07 April 2010
312,AB de Villiers,63,28,5,4,KKR,M. Chinnaswamy Stadium,05 April 2019
313,Nitish Rana,63,28,2,7,PBKS,Eden Gardens,27 March 2019
314,Mayank Agarwal,58,28,6,1,KKR,Eden Gardens,27 March 2019
315,David Warner,67,28,3,5,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
316,Shane Watson,52,28,4,3,DC,Wankhede Stadium,30 May 2008
317,Wriddhiman Saha,59,28,2,4,PBKS,IS Bindra Stadium,03 May 2008
318,Yusuf Pathan,68,28,9,2,DEC,Sawai Mansingh Stadium,09 May 2008
319,Ben Stokes,107,28,14,3,MI,Zayed Cricket Stadium,25 October 2020
320,Virender Sehwag,77,28,8,4,PBKS,Arun Jaitley Stadium,23 April 2011
321,Phil Salt,56,28,4,2,Mumbai Indians,Eden Gardens,09 May 2025
322,Shikhar Dhawan,106,28,12,3,PBKS,Dubai International Stadium,20 October 2020
323,Virat Kohli,113,28,12,8,PBKS,M. Chinnaswamy Stadium,18 May 2016
324,Shikhar Dhawan,51,28,4,3,KKR,Eden Gardens,22 May 2016
325,Dwayne Smith,63,28,9,1,RPS,Maharashtra Cricket Association's International Stadium,29 April 2016
326,Virat Kohli,56,28,6,4,CSK,M. Chinnaswamy Stadium,18 May 2013
327,Rohit Sharma,79,28,6,6,PBKS,Wankhede Stadium,29 April 2013
328,Nitish Rana,70,28,7,4,GL,Green Park,21 May 2016
329,Gautam Gambhir,75,28,11,1,RR,Sawai Mansingh Stadium,15 April 2011
330,MS Dhoni,63,28,5,4,DC,Chidambaram,12 May 2011
