POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
99,Pawan Negi,50,42,119.2,939,34,4/18,27.62,7.87,21.06,1,0
100,Washington Sundar,51,49,153.0,1106,33,21/2,33.52,7.23,27.82,0,0
101,Kevon Cooper,25,25,96.0,757,33,4/26,22.94,7.89,17.45,1,0
102,Rahul Tewatia,48,45,132.2,1020,32,3/18,31.88,7.71,24.81,0,0
103,Sam Curran,32,31,108.0,995,32,4/11,31.09,9.21,20.25,1,0
104,Josh Hazlewood,24,24,91.3,734,32,25/4,22.94,8.02,17.16,1,0
105,Thisara Perera,37,36,116.2,1016,31,3/20,32.77,8.73,22.52,0,0
106,Murali Kartik,56,55,191.3,1388,31,3/17,44.77,7.25,37.06,0,0
107,Shivam Mavi,32,32,108.1,942,30,33/1,31.4,8.71,21.63,1,0
108,Chris Woakes,21,21,73.2,658,30,3/6,21.93,8.97,14.67,0,0
109,Ajit Agarkar,42,42,130.2,1151,29,3/25,39.69,8.83,26.97,0,0
110,Azhar Mahmood,23,23,89.3,700,29,3/20,24.14,7.82,18.52,0,0
111,Glenn Maxwell,110,66,131.0,1080,28,22/2,38.57,8.24,28.07,0,0
112,Pravin Tambe,33,33,110.0,853,28,4/20,30.46,7.75,23.57,1,0
113,Ben Stokes,43,37,113.5,974,28,3/15,34.79,8.56,24.39,0,0
114,Amit Singh,23,23,78.5,620,28,4/19,22.14,7.86,16.89,1,0
115,Chris Jordan,28,28,89.2,833,27,23/2,30.85,9.32,19.85,1,0
116,Angelo Mathews,49,44,131.5,1079,27,4/19,39.96,8.18,29.3,1,0
117,Wayne Parnell,26,26,95.2,701,26,3/27,26.96,7.35,22.0,0,0
118,Dwayne Smith,91,46,89.5,810,26,4/8,31.15,9.02,20.73,1,0
119,Johan Botha,34,34,115.4,800,25,3/6,32.0,6.92,27.76,0,0
120,Brett Lee,38,38,145.5,1095,25,3/15,43.8,7.51,35.0,0,0
121,Lungi Ngidi,14,14,54.0,448,25,4/10,17.92,8.3,12.96,1,0
122,Harmeet Singh Bansal,27,26,84.3,674,25,3/24,26.96,7.98,20.28,0,0
123,Suresh Raina,178,69,151.2,1118,25,2/0,44.72,7.39,36.32,0,0
124,Mitchell Marsh,29,23,65.1,522,24,25/2,21.75,8.01,16.29,1,0
125,Moeen Ali,44,37,92.2,627,24,13/3,26.12,6.79,23.08,0,0
126,Umran Malik,17,17,61.1,540,24,25/5,22.5,8.83,15.29,1,1
127,Ankit Rajpoot,29,29,88.1,814,24,5/14,33.92,9.23,22.04,0,1
128,Rishi Dhawan,32,31,100.2,796,24,36/2,33.17,7.93,25.08,0,0
129,MF Maharoof,17,17,60.0,455,23,3/34,19.78,7.58,15.65,0,0
130,Pradeep Sangwan,29,29,96.0,880,23,19/2,38.26,9.17,25.04,0,0
131,JP Duminy,83,49,113.0,834,23,4/17,36.26,7.38,29.48,1,0
132,Shaun Tait,21,21,78.5,640,23,3/13,27.83,8.12,20.57,0,0
133,Brad Hogg,21,21,76.2,570,23,4/29,24.78,7.47,19.91,1,0
134,Basil Thampi,25,25,86.5,846,22,35/3,38.45,9.74,23.68,0,0
135,Ben Hilfenhaus,17,17,62.0,479,22,3/27,21.77,7.73,16.91,0,0
136,Stuart Binny,95,63,99.0,758,22,2/14,34.45,7.66,27.0,0,0
137,Sohail Tanvir,11,11,41.1,266,22,6/14,12.09,6.46,11.23,1,1
138,Adam Zampa,14,14,47.5,370,21,6/19,17.62,7.74,13.67,0,1
139,Roelof van der Merwe,21,21,73.5,498,21,3/20,23.71,6.74,21.1,0,0
140,Daniel Vettori,27,27,106.2,698,21,3/19,33.24,6.56,30.38,0,0
141,Navdeep Saini,30,30,103.4,900,20,36/2,45.0,8.68,31.1,0,0
142,Andrew Symonds,39,30,87.5,674,20,3/21,33.7,7.67,26.35,0,0
143,Yo Mahesh,17,16,54.3,474,20,4/36,23.7,8.7,16.35,1,0
144,Kane Richardson,15,15,55.5,472,19,3/13,24.84,8.45,17.63,0,0
145,Jagadeesha Suchith,22,21,70.0,602,19,12/2,31.68,8.6,22.11,0,0
146,Dimitri Mascarenhas,13,13,51.2,356,19,5/25,18.74,6.94,16.21,0,1
147,Mujeeb Ur Rahman,19,19,72.2,592,19,3/27,31.16,8.18,22.84,0,0
148,Krishnappa Gowtham,28,28,80.0,661,18,30/2,36.72,8.26,26.67,0,0
149,Chris Gayle,90,38,92.2,729,18,3/21,40.5,7.9,30.78,0,0
150,Barinder Sran,24,24,80.3,757,18,3/28,42.06,9.4,26.83,0,0
151,Ishwar Pandey,25,24,77.0,591,18,2/23,32.83,7.68,25.67,0,0
152,Chaminda Vaas,13,13,47.0,355,18,3/21,19.72,7.55,15.67,0,0
153,Anureet Singh,23,22,68.4,623,18,3/23,34.61,9.07,22.89,0,0
154,Brad Hodge,59,20,39.0,303,17,4/13,17.82,7.77,13.76,1,0
155,Bipul Sharma,33,28,71.0,572,17,2/13,33.65,8.06,25.06,0,0
156,Dilhara Fernando,10,10,39.0,298,17,4/18,17.53,7.64,13.76,1,0
157,Mayank Markande,20,20,60.0,510,17,26/1,30.0,8.5,21.18,1,0
158,Chetan Sakariya,17,17,63.0,510,17,23/2,30.0,8.1,22.24,0,0
159,Ashish Reddy,31,19,40.4,364,17,3/25,21.41,8.95,14.35,0,0
160,Mukesh Choudhary,13,13,45.3,424,16,46/4,26.5,9.32,17.06,1,0
161,David Wiese,15,14,46.2,402,16,4/33,25.12,8.68,17.38,1,0
162,Yusuf Abdulla,11,11,34.5,307,15,4/31,20.47,8.81,13.93,2,0
163,Laxmi Ratan Shukla,47,27,52.2,447,15,3/6,29.8,8.54,20.93,0,0
164,Rohit Sharma,125,32,56.3,453,15,4/6,30.2,8.02,22.6,1,0
165,Mohsin Khan,9,9,33.0,197,14,16/4,14.07,5.97,14.14,1,0
166,Alfonso Thomas,15,15,52.3,406,14,3/22,29.0,7.73,22.5,0,0
167,Kartik Tyagi,16,16,60.1,570,14,42/1,40.71,9.47,25.79,0,0
168,Daniel Sams,16,16,60.0,523,14,30/4,37.36,8.72,25.71,1,0
169,James Hopes,21,20,60.0,548,14,2/2,39.14,9.13,25.71,0,0
170,Ravi Rampaul,12,12,43.4,298,14,3/31,21.29,6.82,18.71,0,0
171,Shalabh Srivastava,14,14,47.0,441,14,2/20,31.5,9.38,20.14,0,0
172,Charl Langeveldt,7,7,26.0,187,13,3/15,14.38,7.19,12.0,0,0
173,Alzarri Joseph,12,12,38.4,351,13,34/2,27.0,9.08,17.85,0,1
174,Sandeep Lamichhane,9,9,35.0,292,13,3/36,22.46,8.34,16.15,0,0
175,Tom Curran,13,13,39.4,430,13,3/29,33.08,10.84,18.31,0,0
176,Sanath Jayasuriya,30,21,49.0,390,13,3/14,30.0,7.96,22.62,0,0
177,Dirk Nannes,16,16,58.1,413,13,2/12,31.77,7.1,26.85,0,0
178,Mohammad Nabi,17,17,57.1,408,13,4/11,31.38,7.14,26.38,1,0
179,Ramesh Powar,27,26,71.0,527,13,2/11,40.54,7.42,32.77,0,0
180,Carlos Brathwaite,16,16,42.2,375,13,3/43,28.85,8.86,19.54,0,0
181,Shahbaz Ahmed,29,22,55.0,472,13,26/2,36.31,8.58,25.38,0,0
182,Riley Meredith,13,13,45.0,405,12,24/2,33.75,9.0,22.5,0,0
183,Maheesh Theekshana,9,9,35.0,261,12,33/4,21.75,7.46,17.5,1,0
184,Glenn McGrath,14,14,54.0,357,12,4/29,29.75,6.61,27.0,1,0
185,Ryan McLaren,18,18,59.0,542,12,2/28,45.17,9.19,29.5,0,0
186,Bhargav Bhatt,17,15,49.2,397,12,4/22,33.08,8.05,24.67,1,0
187,Joginder Sharma,16,15,42.4,419,12,2/27,34.92,9.82,21.33,0,0
188,Umar Gul,6,6,22.3,184,12,4/23,15.33,8.18,11.25,1,0
189,Karanveer Singh,9,9,34.0,321,12,4/54,26.75,9.44,17.0,1,0
190,Vikram Singh,18,17,57.0,502,12,3/29,41.83,8.81,28.5,0,0
191,Ankit Sharma,22,21,61.1,450,12,2/20,37.5,7.36,30.58,0,0
192,Yash Dayal,9,9,32.0,296,11,40/3,26.91,9.25,17.45,0,0
193,Ravi Bopara,24,14,34.2,292,11,3/31,26.55,8.5,18.73,0,0
194,Ajit Chandila,12,12,39.0,242,11,4/13,22.0,6.21,21.27,1,0
195,Darren Sammy,22,19,39.2,350,11,4/22,31.82,8.9,21.45,1,0
196,Shaun Pollock,13,13,46.0,301,11,3/12,27.36,6.54,25.09,0,0
197,Andrew McDonald,10,9,28.0,239,11,2/25,21.73,8.54,15.27,0,0
198,James Pattinson,10,10,35.3,320,11,2/19,29.09,9.01,19.36,0,0
199,Samuel Badree,12,12,43.0,319,11,4/9,29.0,7.42,23.45,1,0
200,Tymal Mills,10,10,34.5,343,11,35/3,31.18,9.85,19.0,0,0
201,Corey Anderson,30,22,49.3,518,11,2/18,47.09,10.46,27.0,0,0
202,Pankaj Singh,20,17,50.0,468,11,2/18,42.55,9.36,27.27,0,0
203,Obed McCoy,7,7,25.5,237,11,23/3,21.55,9.17,14.09,0,0
204,Mitchell Santner,12,12,40.0,277,10,15/1,27.7,6.92,24.0,0,0
205,Veer Pratap Singh,9,9,34.0,296,10,2/31,29.6,8.71,20.4,0,0
206,Ben Laughlin,9,9,28.0,282,10,2/15,28.2,10.07,16.8,0,0
207,Ben Cutting,21,17,46.5,429,10,2/20,42.9,9.16,28.1,0,0
208,Deepak Hooda,95,30,58.1,501,10,31/1,50.1,8.61,34.9,0,0
209,Sourav Ganguly,55,20,46.0,363,10,2/21,36.3,7.89,27.6,0,0
210,Kamran Khan,9,9,26.4,224,9,3/18,24.89,8.4,17.78,0,0
211,Sachithra Senanayake,8,8,32.0,209,9,2/26,23.22,6.53,21.33,0,0
212,Beuran Hendricks,7,7,25.0,235,9,3/36,26.11,9.4,16.67,0,0
213,Ish Sodhi,8,8,30.1,202,9,3/26,22.44,6.7,20.11,0,0
214,Keemo Paul,8,8,27.1,237,9,3/17,26.33,8.72,18.11,0,0
215,Marlon Samuels,15,11,35.4,284,9,3/39,31.56,7.96,23.78,0,0
216,Abhishek Nayar,52,19,38.1,322,9,3/13,35.78,8.44,25.44,0,0
217,Jacob Oram,18,13,37.3,336,9,3/32,37.33,8.96,25.0,0,0
218,Harpreet Brar,15,15,48.0,374,9,26/3,41.56,7.79,32.0,0,0
219,Shahid Afridi,10,10,30.0,225,9,3/28,25.0,7.5,20.0,0,0
220,Kyle Jamieson,9,9,28.0,269,9,3/41,29.89,9.61,18.67,0,0
221,KP Appanna,14,13,36.0,286,9,4/19,31.78,7.94,24.0,1,0
222,James Franklin,20,15,25.1,220,9,2/18,24.44,8.74,16.78,0,0
223,Ali Murtaza,12,12,44.0,313,9,3/15,34.78,7.11,29.33,0,0
224,Dushmantha Chameera,12,12,44.0,384,9,17/2,42.67,8.73,29.33,0,0
225,Marco Jansen,10,10,38.0,319,9,25/3,35.44,8.39,25.33,0,0
226,Vijay Shankar,43,20,38.1,329,9,2/19,36.56,8.62,25.44,0,0
227,Shane Bond,8,8,31.0,224,9,2/24,24.89,7.23,20.67,0,0
228,Juan Theron,10,10,36.0,293,9,2/17,32.56,8.14,24.0,0,0
229,KC Cariappa,11,11,36.0,348,8,2/16,43.5,9.67,27.0,0,0
230,Ankeet Chavan,13,13,41.2,326,8,2/23,40.75,7.89,31.0,0,0
231,Anand Rajan,8,8,24.5,201,8,3/27,25.12,8.09,18.62,0,0
232,Syed Mohammad,11,11,32.0,283,8,2/15,35.38,8.84,24.0,0,0
233,Lalit Yadav,19,13,32.0,251,8,11/2,31.38,7.84,24.0,0,0
234,Ajantha Mendis,10,10,40.0,285,8,2/19,35.62,7.12,30.0,0,0
235,Scott Styris,12,11,36.0,276,8,3/32,34.5,7.67,27.0,0,0
236,Jesse Ryder,29,16,39.2,303,8,2/14,37.88,7.7,29.5,0,0
237,Isuru Udana,10,10,29.0,282,8,2/41,35.25,9.72,21.75,0,0
238,Thilan Thushara,6,6,22.3,161,8,2/16,20.12,7.16,16.88,0,0
239,Jimmy Neesham,12,12,33.0,305,8,3/12,38.12,9.24,24.75,0,0
240,David Hussey,64,26,52.5,474,8,2/2,59.25,8.97,39.62,0,0
241,Mohammad Asif,8,8,32.0,296,8,2/19,37.0,9.25,24.0,0,0
242,Kuldeep Sen,7,7,25.1,237,8,20/4,29.62,9.42,18.88,1,0
243,Jayant Yadav,19,19,61.0,419,8,1/8,52.38,6.87,45.75,0,0
244,Kevin Pietersen,21,13,29.0,215,7,2/31,30.71,7.41,24.86,0,0
245,Palani Amarnath,6,6,22.0,236,7,2/29,33.71,10.73,18.86,0,0
246,Abhimanyu Mithun,16,16,48.0,472,7,2/37,67.43,9.83,41.14,0,0
247,Paul Valthaty,20,10,25.1,205,7,4/29,29.29,8.15,21.57,1,0
248,Abu Nechim,10,10,35.2,303,7,2/27,43.29,8.58,30.29,0,0
249,Billy Stanlake,6,6,24.0,200,7,2/21,28.57,8.33,20.57,0,0
250,Makhaya Ntini,9,9,35.0,242,7,4/21,34.57,6.91,30.0,1,0
251,Abhishek Sharma,19,14,22.0,176,7,2/4,25.14,8.0,18.86,0,0
252,Nitish Rana,64,16,19.1,154,7,2/11,22.0,8.03,16.43,0,0
253,Adam Milne,9,9,32.0,308,7,2/21,44.0,9.62,27.43,0,0
254,Harry Gurney,8,8,27.0,238,7,2/25,34.0,8.81,23.14,0,0
255,Hardus Viljoen,6,6,23.0,222,7,2/39,31.71,9.65,19.71,0,0
256,Virender Sehwag,57,14,21.4,210,6,2/18,35.0,9.69,21.67,0,0
257,Balachandra Akhil,15,13,31.2,242,6,2/17,40.33,7.72,31.33,0,0
258,Ramandeep Singh,5,3,6.0,54,6,20/3,9.0,9.0,6.0,0,0
259,Sai Kishore,5,5,16.0,121,6,7/2,20.17,7.56,16.0,0,0
260,Rohan Raje,10,10,23.1,209,6,2/16,34.83,9.02,23.17,0,0
261,Colin de Grandhomme,25,19,36.0,319,6,3/4,53.17,8.86,36.0,0,0
262,Tirumalasetti Suman,41,11,25.0,197,6,2/14,32.83,7.88,25.0,0,0
263,Dwaine Pretorius,6,6,21.0,210,6,30/2,35.0,10.0,21.0,0,0
264,Liam Livingstone,18,13,24.0,215,6,27/3,35.83,8.96,24.0,0,0
265,Jaskaran Singh,8,7,17.0,171,6,2/18,28.5,10.06,17.0,0,0
266,Odean Smith,6,6,15.0,178,6,30/4,29.67,11.87,15.0,1,0
267,Suraj Randiv,8,8,29.0,223,6,2/24,37.17,7.69,29.0,0,0
268,Vikramjeet Malik,13,13,34.1,261,6,2/14,43.5,7.64,34.17,0,0
269,Sheldon Cottrell,6,6,20.0,176,6,2/17,29.33,8.8,20.0,0,0
270,Shivil Kaushik,7,7,23.0,192,6,3/20,32.0,8.35,23.0,0,0
271,Sudeep Tyagi,14,14,34.5,295,6,2/18,49.17,8.47,34.83,0,0
272,Venugopal Rao,64,20,36.0,337,6,2/23,56.17,9.36,36.0,0,0
273,Shoaib Ahmed,7,7,17.0,152,5,2/20,30.4,8.94,20.4,0,0
274,Rahul Shukla,7,7,20.0,208,5,2/28,41.6,10.4,24.0,0,0
275,Aniket Choudhary,5,5,16.5,144,5,2/17,28.8,8.55,20.2,0,0
276,Jason Behrendorff,5,5,19.0,165,5,2/22,33.0,8.68,22.8,0,0
277,Tillakaratne Dilshan,38,17,29.1,268,5,1/3,53.6,9.19,35.0,0,0
278,Shrikant Wagh,8,8,17.0,137,5,3/16,27.4,8.06,20.4,0,0
279,Gurkeerat Mann Singh,12,6,13.0,97,5,2/15,19.4,7.46,15.6,0,0
280,Marchant de Lange,5,5,18.0,169,5,3/34,33.8,9.39,21.6,0,0
281,Paul Collingwood,8,6,14.5,101,5,2/19,20.2,6.81,17.8,0,0
282,Oshane Thomas,4,4,10.0,79,5,2/6,15.8,7.9,12.0,0,0
283,Kumar Kartikeya Singh,4,4,13.0,102,5,22/2,20.4,7.85,15.6,0,0
284,Sarabjit Ladda,9,9,23.0,224,5,2/44,44.8,9.74,27.6,0,0
285,Sumit Narwal,7,6,17.4,202,5,3/36,40.4,11.43,21.2,0,0
286,Aditya Dole,3,3,11.0,112,5,2/36,22.4,10.18,13.2,0,0
287,Akash Deep,5,5,18.5,205,5,45/3,41.0,10.88,22.6,0,0
288,Kamlesh Nagarkoti,11,10,28.0,256,5,2/13,51.2,9.14,33.6,0,0
289,Nuwan Kulasekara,6,5,17.0,120,5,2/10,24.0,7.06,20.4,0,0
290,Raiphi Gomez,13,9,16.0,129,5,2/14,25.8,8.06,19.2,0,0
291,Shoaib Akhtar,3,3,7.0,54,5,4/11,10.8,7.71,8.4,1,0
292,Shivam Sharma,5,5,19.0,165,4,2/26,41.25,8.68,28.5,0,0
293,KM Asif,3,3,8.1,93,4,2/43,23.25,11.39,12.25,0,0
294,Tushar Deshpande,7,7,24.0,255,4,40/1,63.75,10.62,36.0,0,0
295,Riyan Parag,47,19,26.1,280,4,12/1,70.0,10.7,39.25,0,0
296,P Parameswaran,5,5,15.4,137,4,2/20,34.25,8.74,23.5,0,0
297,Shivam Dube,24,11,15.4,130,4,2/15,32.5,8.3,23.5,0,0
298,Wilkin Mota,12,7,12.0,97,4,1/6,24.25,8.08,18.0,0,0
299,Parveez Rasool,11,11,33.0,271,4,1/20,67.75,8.21,49.5,0,0
300,Sanjay Bangar,11,9,25.0,219,4,2/34,54.75,8.76,37.5,0,0
301,Virat Kohli,109,26,41.5,368,4,2/25,92.0,8.8,62.75,0,0
302,Shikhar Dhawan,29,6,8.0,66,4,1/7,16.5,8.25,12.0,0,0
303,Liam Plunkett,7,7,25.0,225,4,3/17,56.25,9.0,37.5,0,0
304,Dillon du Preez,2,2,7.0,56,4,3/32,14.0,8.0,10.5,0,0
305,Nathan Ellis,5,5,18.0,153,4,40/3,38.25,8.5,27.0,0,0
306,Simarjeet Singh,6,6,18.0,138,4,27/2,34.5,7.67,27.0,0,0
307,Domnic Joseph,6,6,14.0,101,4,2/18,25.25,7.21,21.0,0,0
308,Paidikalva Vijaykumar,9,9,25.2,199,4,1/17,49.75,7.86,38.0,0,0
309,Vaibhav Arora,5,5,17.5,164,3,21/2,54.67,9.2,35.67,0,0
310,Pradeep Sahu,5,5,17.3,146,3,2/18,48.67,8.34,35.0,0,0
311,Venkatesh Iyer,10,4,8.3,69,3,2/29,23.0,8.12,17.0,0,0
312,Romario Shepherd,3,3,9.0,98,3,42/2,32.67,10.89,18.0,0,0
313,Aavishkar Salvi,2,2,8.0,66,3,2/40,22.0,8.25,16.0,0,0
314,JM Kemp,5,5,7.2,54,3,3/12,18.0,7.36,14.67,0,0
315,George Garton,5,5,15.0,135,3,1/27,45.0,9.0,30.0,0,0
316,Johan van der Wath,3,3,12.0,129,3,2/49,43.0,10.75,24.0,0,0
317,Love Ablish,3,3,7.0,75,3,2/17,25.0,10.71,14.0,0,0
318,Tabraiz Shamsi,5,5,20.0,181,3,1/21,60.33,9.05,40.0,0,0
