POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
50,Abhishek Sharma,97,90,12,2220,104,28.46,1561,142.22,0,14,224,122
51,Nitish Rana,91,85,8,2181,87,28.32,1625,134.22,0,15,190,111
52,Rahul Dravid,89,82,5,2174,75*,28.23,1882,115.52,0,11,269,28
53,Yashasvi Jaiswal,86,82,3,2165,87,27.41,1673,129.41,0,14,235,108
54,Kane Williamson,76,75,17,2101,89,36.22,1667,126.03,0,18,182,64
55,Aaron Finch,92,90,7,2091,88*,25.19,1631,128.2,0,15,214,78
56,Rinku Singh,78,76,13,2081,105*,33.03,1573,132.29,1,11,203,117
57,Adam Gilchrist,80,80,4,2069,109*,27.22,1495,138.39,2,11,239,92
58,Andre Russell,98,82,15,2035,88*,30.37,1144,177.88,0,10,137,175
59,JP Duminy,83,77,26,2029,78*,39.78,1636,124.02,0,14,126,79
60,Michael Hussey,59,58,7,1977,116*,38.76,1612,122.64,1,15,198,52
61,Ishan Kishan,75,70,6,1870,99,29.22,1413,132.34,0,12,166,85
62,Sai Sudharsan,67,64,11,1821,121,34.36,1344,135.49,0,10,176,90
63,Mahela Jayawardena,80,78,15,1802,110*,28.6,1462,123.26,1,10,200,39
64,Rahul Tripathi,76,74,10,1798,93,28.09,1277,140.8,0,10,176,68
65,Phil Salt,63,59,10,1729,122,35.29,1260,137.22,0,11,169,100
66,Heinrich Klaasen,70,64,6,1714,110*,29.55,1253,136.79,0,11,171,87
67,Mandeep Singh,104,93,16,1688,77*,21.92,1361,124.03,0,6,175,37
68,Kumar Sangakkara,71,68,3,1687,94,25.95,1392,121.19,0,10,195,27
69,Manoj Tiwary,96,84,26,1686,75*,29.07,1436,117.41,0,7,155,40
70,Prithvi Shaw,63,63,0,1588,99,25.21,1077,147.45,0,12,192,55
71,Dwayne Bravo,161,113,44,1560,70*,22.61,1204,129.57,0,5,120,66
72,Devon Conway,70,66,16,1555,124*,31.1,1067,145.74,2,16,154,103
73,Naman Ojha,113,94,19,1554,94*,20.72,1313,118.35,0,6,121,79
74,Karun Nair,76,68,5,1496,83*,23.75,1171,127.75,0,10,161,39
75,Saurabh Tiwary,93,73,21,1494,61,28.73,1244,120.1,0,8,111,50
76,Subramaniam Badrinath,95,67,20,1441,71*,30.66,1212,118.89,0,11,154,28
77,Eoin Morgan,83,75,13,1405,68*,22.66,1146,122.6,0,5,112,64
78,Brad Hodge,66,63,21,1400,73,33.33,1118,125.22,0,6,122,43
79,Sourav Ganguly,59,56,3,1349,91,25.45,1263,106.81,0,7,137,42
80,Chris Lynn,42,42,3,1329,93*,34.08,945,140.63,0,10,132,66
81,Krunal Pandya,98,85,26,1326,86,22.47,970,136.7,0,1,121,50
82,David Hussey,64,61,12,1322,71,26.98,1075,122.98,0,5,90,60
83,Jonny Bairstow,39,39,3,1291,114,35.86,905,142.65,1,9,133,55
84,Devdutt Padikkal,46,46,1,1260,101*,28.0,1013,124.38,1,7,135,36
85,Deepak Hooda,95,75,14,1236,64,20.26,936,132.05,0,7,77,56
86,Kedar Jadhav,93,80,26,1196,69,22.15,971,123.17,0,4,101,40
87,Irfan Pathan,103,82,29,1139,60,21.49,946,120.4,0,1,87,37
88,Axar Patel,122,88,29,1135,44,19.24,881,128.83,0,0,67,54
89,Matthew Hayden,32,32,2,1107,93,36.9,805,137.52,0,8,121,44
90,Lendl Simmons,29,29,2,1079,100*,39.96,852,126.64,1,11,109,44
91,Manan Vohra,55,50,2,1073,95,22.35,818,131.17,0,3,103,43
92,Ross Taylor,55,54,14,1017,81*,25.43,822,123.72,0,3,66,46
93,Kevin Pietersen,36,36,9,1001,103*,37.07,743,134.72,1,4,91,40
94,Moises Henriques,62,54,18,1000,74*,27.78,788,126.9,0,5,87,28
95,Venugopal Rao,64,54,10,985,71*,22.39,836,117.82,0,3,77,37
96,Albie Morkel,91,68,28,974,73*,24.35,686,141.98,0,3,61,55
97,Andrew Symonds,39,36,9,974,117*,36.07,750,129.87,1,5,74,41
98,Cameron White,47,45,9,954,78,26.5,755,126.36,0,6,76,36
99,Ben Stokes,43,42,6,920,107*,25.56,684,134.5,2,2,79,32
100,Moeen Ali,44,42,3,910,93,23.33,632,143.99,0,5,76,53
101,Herschelle Gibbs,36,36,4,886,69*,27.69,807,109.79,0,6,83,31
102,Stuart Binny,95,68,23,880,48*,19.56,683,128.84,0,0,66,35
103,Harbhajan Singh,163,90,37,833,64,15.72,604,137.91,0,1,79,42
104,Shimron Hetmyer,46,44,17,831,75,30.78,546,152.2,0,3,55,52
105,Manvinder Bisla,39,39,1,798,92,21.0,702,113.68,0,4,93,23
106,Shakib Al Hasan,71,52,12,793,66*,19.82,637,124.49,0,2,73,21
107,Sanath Jayasuriya,30,30,2,772,114*,27.57,532,145.11,1,4,85,39
108,Graeme Smith,29,29,3,739,91,28.42,668,110.63,0,4,94,9
109,Rahul Tewatia,63,46,17,738,53,25.45,566,130.39,0,1,57,35
110,Tillakaratne Dilshan,38,37,4,735,76*,22.27,666,110.36,0,5,98,11
111,Vijay Shankar,50,43,12,731,63*,23.58,599,122.04,0,3,46,28
112,Angelo Mathews,49,42,11,724,65*,23.35,575,125.91,0,1,44,29
113,Tirumalasetti Suman,43,40,8,676,78*,21.12,575,117.57,0,2,55,26
114,Abhishek Nayar,60,50,12,672,45*,17.68,577,116.46,0,0,55,20
115,George Bailey,40,37,10,663,61*,24.56,544,121.88,0,2,59,19
116,Evin Lewis,27,26,2,654,65,27.25,477,137.11,0,4,62,36
117,Ravichandran Ashwin,168,73,27,645,50,14.02,544,118.57,0,1,51,21
118,Chris Morris,81,51,23,618,82*,22.07,398,155.28,0,2,41,35
119,Jesse Ryder,29,29,1,604,86,21.57,458,131.88,0,4,69,19
120,Piyush Chawla,158,82,32,584,24*,11.68,526,111.03,0,0,54,18
121,Hashim Amla,16,16,3,577,104*,44.38,407,141.77,2,3,60,21
122,Venkatesh Iyer,22,22,2,552,67,27.6,457,120.79,0,5,54,21
123,Liam Livingstone,23,23,3,550,70,27.5,329,167.17,0,4,38,40
124,Corey Anderson,30,29,7,538,95*,24.45,423,127.19,0,3,40,31
125,Sarfaraz Khan,46,33,11,532,67,24.18,386,137.82,0,1,59,13
126,Ravi Bopara,24,22,4,531,84,29.5,453,117.22,0,3,39,16
127,Aiden Markram,20,18,5,527,68*,40.54,393,134.1,0,3,37,23
128,James Faulkner,59,45,20,527,46,21.08,389,135.48,0,0,36,23
129,Riyan Parag,47,37,6,522,56*,16.84,418,124.88,0,2,40,22
130,Gurkeerat Mann Singh,39,32,8,511,65,21.29,422,121.09,0,2,55,11
131,Quinton De Kock,15,15,1,508,140*,36.29,341,148.97,1,3,47,23
132,Owais Shah,23,22,7,506,76,33.73,389,130.08,0,4,34,23
133,Paul Valthaty,23,23,1,505,120*,22.95,418,120.81,1,2,61,20
134,Sam Billings,30,27,1,503,56,19.35,388,129.64,0,3,40,20
135,Mitchell Marsh,29,23,2,476,89,22.67,386,123.32,0,2,28,28
136,Faf Du Plessis,16,16,1,468,96,31.2,367,127.52,0,3,49,13
137,Dan Christian,49,41,10,460,39,14.84,398,115.58,0,0,23,19
138,Mithun Manhas,44,32,12,439,42*,21.95,408,107.6,0,0,36,9
139,Swapnil Asnodkar,20,20,0,423,60,21.15,339,124.78,0,2,56,10
140,Thisara Perera,36,30,8,422,40,19.18,307,137.46,0,0,23,26
141,James Hopes,21,19,3,417,71,26.06,306,136.27,0,4,49,11
142,Johan Botha,34,28,8,409,67*,20.45,359,113.93,0,1,39,5
143,Laxmi Ratan Shukla,47,34,7,405,48*,15.0,350,115.71,0,0,33,16
144,Rajat Patidar,12,11,1,404,112*,40.4,280,144.29,1,2,30,21
145,Ashok Menaria,28,22,2,400,40,20.0,354,112.99,0,0,24,18
146,Tilak Varma,14,14,3,397,61,36.09,303,131.02,0,2,29,16
147,Mark Boucher,31,24,10,394,50*,28.14,309,127.51,0,1,32,13
148,Cheteshwar Pujara,30,22,3,390,51,20.53,391,99.74,0,1,50,4
149,Azhar Mahmood,23,21,2,388,80,20.42,303,128.05,0,2,39,13
150,Pat Cummins,41,31,11,379,66*,18.95,249,152.21,0,3,24,26
151,Dwaraka Ravi Teja,32,25,6,375,60,19.74,317,118.3,0,1,35,9
152,Sunny Sohal,21,20,0,368,62,18.4,292,126.03,0,2,34,18
153,Pawan Negi,47,35,9,365,36,14.04,289,126.3,0,0,27,16
154,Amit Mishra,147,56,25,362,31,11.68,389,93.06,0,0,29,5
155,Praveen Kumar,119,59,21,344,34,9.05,315,109.21,0,0,23,17
156,Aditya Tare,35,28,4,339,59,14.12,273,124.18,0,1,40,11
157,Sam Curran,32,23,8,337,55*,22.47,225,149.78,0,2,30,18
158,Rajat Bhatia,87,44,19,334,26*,13.36,266,125.56,0,0,23,13
159,Jason Roy,13,13,2,329,91*,29.91,255,129.02,0,2,39,9
160,James Franklin,20,16,5,327,79,29.73,301,108.64,0,1,25,8
161,Ryan ten Doeschate,29,22,8,326,70*,23.29,235,138.72,0,1,26,15
162,Washington Sundar,51,33,10,318,40,13.83,264,120.45,0,0,26,9
163,Karn Sharma,55,33,13,316,39*,15.8,271,116.61,0,0,18,14
164,Rashid Khan,92,43,15,313,40,11.18,206,151.94,0,0,20,22
165,Vinay Kumar,104,46,18,310,26*,11.07,274,113.14,0,0,21,9
166,Debabrata Das,31,22,8,304,35*,21.71,261,116.48,0,0,23,16
167,Colin de Grandhomme,25,21,5,303,40,18.94,225,134.67,0,0,18,18
168,Luke Pomersbach,17,16,5,302,79*,27.45,246,122.76,0,1,25,13
169,Unmukt Chand,19,18,0,298,58,16.56,288,103.47,0,1,32,9
170,Darren Sammy,22,20,5,295,60,19.67,241,122.41,0,1,15,18
171,Shreevats Goswami,31,21,1,293,52,14.65,295,99.32,0,1,32,3
172,Hanuma Vihari,24,23,3,284,46,14.2,321,88.47,0,0,23,1
173,VVS Laxman,20,20,2,282,52,15.67,267,105.62,0,1,33,5
174,Bharat Chipli,23,21,6,280,61*,18.67,251,111.55,0,1,28,7
175,Ashish Reddy,31,24,9,280,36*,18.67,193,145.08,0,0,16,15
176,Shahbaz Ahmed,29,19,4,279,45,18.6,235,118.72,0,0,18,11
177,Michael Lumb,11,11,0,278,83,25.27,192,144.79,0,1,45,6
178,Rajagopal Sathish,34,25,8,270,27*,15.88,231,116.88,0,0,22,6
179,Shahrukh Khan,19,18,4,270,47,19.29,222,121.62,0,0,13,19
180,Martin Guptill,13,13,1,270,50*,22.5,196,137.76,0,1,24,15
181,Mahipal Lomror,18,15,2,267,47,20.54,208,128.37,0,0,15,13
182,Yogesh Nagar,24,18,6,263,43*,21.92,233,112.88,0,0,19,9
183,Mohammad Kaif,29,22,4,259,34*,14.39,250,103.6,0,0,22,6
184,Priyam Garg,21,17,1,251,51*,15.69,218,115.14,0,1,15,9
185,Rovman Powell,14,12,2,250,67*,25.0,167,149.7,0,1,10,22
186,Jason Holder,32,24,5,247,47*,13.0,200,123.5,0,0,13,17
187,Simon Katich,11,11,1,241,75,24.1,186,129.57,0,2,26,8
188,Bhuvneshwar Kumar,142,56,27,240,24*,8.28,249,96.39,0,0,23,3
189,Ben Cutting,21,17,6,238,39*,21.64,141,168.79,0,0,15,19
190,Mohnish Mishra,18,17,1,237,41,14.81,208,113.94,0,0,24,8
191,Jitesh Sharma,12,10,2,234,44,29.25,143,163.64,0,0,22,12
192,Harshal Patel,72,35,13,230,36*,10.45,178,129.21,0,0,15,13
193,Lalit Yadav,19,13,4,229,48*,25.44,219,104.57,0,0,18,7
194,Abdul Samad,25,20,4,226,33,14.12,159,142.14,0,0,12,14
195,Karan Goel,22,17,2,218,38,14.53,231,94.37,0,0,17,9
196,Abhishek Jhunjhunwala,21,16,3,217,53*,16.69,210,103.33,0,1,19,5
197,Bhanuka Rajapaksa,9,9,0,206,43,22.89,129,159.69,0,0,16,13
198,Colin Ingram,15,15,3,205,47,17.08,180,113.89,0,0,22,5
199,Paul Collingwood,8,7,2,203,75*,40.6,156,130.13,0,3,9,13
200,Shane Warne,55,29,9,198,34*,9.9,214,92.52,0,0,14,6
201,Stephen Fleming,10,10,1,196,45,21.78,164,119.51,0,0,27,3
202,Jofra Archer,35,23,10,195,27*,15.0,124,157.26,0,0,11,14
203,Abhishek Raut,22,16,7,194,36*,21.56,167,116.17,0,0,13,7
204,Ben Rohrer,8,8,2,193,64*,32.17,140,137.86,0,1,21,5
205,Salman Butt,7,7,0,193,73,27.57,161,119.88,0,1,30,2
206,K.S Bharat,8,7,2,191,78*,38.2,156,122.44,0,1,10,8
207,Rishi Dhawan,32,21,12,190,25*,21.11,175,108.57,0,0,17,6
208,Tim David,9,9,3,187,46,31.17,89,210.11,0,0,12,16
209,Bipul Sharma,32,17,9,187,35*,23.38,123,152.03,0,0,11,9
210,Kagiso Rabada,63,26,10,186,44,11.62,177,105.08,0,0,16,6
211,Krishnappa Gowtham,24,19,6,186,33*,14.31,110,169.09,0,0,13,12
212,Faiz Fazal,12,11,1,183,45,18.3,173,105.78,0,0,22,1
213,Adam Voges,9,7,3,181,45*,45.25,143,126.57,0,0,15,3
214,Carlos Brathwaite,16,14,1,181,43*,13.92,111,163.06,0,0,10,16
215,Shreyas Gopal,49,22,8,180,24,12.86,169,106.51,0,0,19,2
216,Mohammad Nabi,17,14,2,180,31,15.0,119,151.26,0,0,16,9
217,Ajit Agarkar,38,21,11,179,39,17.9,154,116.23,0,0,13,5
218,Matthew Wade,13,13,0,179,35,13.77,171,104.68,0,0,23,2
219,Colin Munro,13,12,0,177,40,14.75,141,125.53,0,0,19,8
220,Umesh Yadav,109,40,25,174,24*,11.6,156,111.54,0,0,15,8
221,Shardul Thakur,75,24,8,173,29*,10.81,134,129.1,0,0,12,8
222,Dishant Yagnik,25,17,7,170,34,17.0,137,124.09,0,0,23,2
223,Chidhambaram Gautam,13,13,3,169,33,16.9,150,112.67,0,0,17,6
224,Mitchell Johnson,54,30,17,167,16*,12.85,164,101.83,0,0,10,7
225,Dale Steyn,93,36,14,167,19*,7.59,160,104.38,0,0,14,3
226,Akshath Reddy,12,10,0,164,42,16.4,160,102.5,0,0,15,2
227,Jaydev Unadkat,65,24,12,162,26,13.5,131,123.66,0,0,13,6
228,Dewald Brevis,7,7,0,161,49,23.0,113,142.48,0,0,14,11
229,Ayush Badoni,13,11,3,161,54,20.12,130,123.85,0,1,11,7
230,Marlon Samuels,15,14,1,161,46,12.38,172,93.6,0,0,9,7
231,Ryan McLaren,18,13,5,159,51*,19.88,171,92.98,0,1,14,1
232,Roelof van der Merwe,18,15,4,159,35,14.45,141,112.77,0,0,11,8
233,MF Maharoof,17,12,3,156,39,17.33,102,152.94,0,0,12,9
234,Alex Hales,6,6,0,148,45,24.67,118,125.42,0,0,13,6
235,Shaun Pollock,13,8,0,147,33,18.38,111,132.43,0,0,12,8
236,Vidyut Sivaramakrishnan,9,8,0,145,54,18.12,109,133.03,0,1,21,3
237,Sachin Baby,15,10,1,141,33,15.67,111,127.03,0,0,11,5
238,Nitin Saini,10,10,0,140,50,14.0,141,99.29,0,1,16,0
239,Scott Styris,12,10,3,131,36*,18.71,133,98.5,0,0,10,3
240,Wasim Jaffer,8,8,0,130,50,16.25,121,107.44,0,1,14,3
241,Anuj Rawat,10,9,0,129,66,14.33,119,108.4,0,1,10,7
242,Kamran Akmal,6,6,1,128,53*,25.6,78,164.1,0,1,13,8
243,David Wiese,15,8,4,127,47*,31.75,90,141.11,0,0,12,4
244,Paras Dogra,13,12,1,127,41,11.55,138,92.03,0,0,4,5
245,Usman Khawaja,6,6,0,127,30,21.17,100,127.0,0,0,14,3
246,Tom Curran,13,10,5,127,54*,25.4,107,118.69,0,1,10,3
247,Manpreet Juneja,7,7,0,125,49,17.86,128,97.66,0,0,11,1
248,Brett Lee,38,19,9,124,25,12.4,97,127.84,0,0,8,8
249,Biplap Samantray,8,7,2,123,55,24.6,111,110.81,0,1,13,2
250,Morne Morkel,54,19,10,123,23*,13.67,85,144.71,0,0,11,5
251,Mohit Sharma,70,25,11,122,21*,8.71,112,108.93,0,0,8,4
252,Niraj Patel,9,6,2,121,57,30.25,119,101.68,0,1,14,1
253,Andrew McDonald,9,7,4,120,33*,40.0,94,127.66,0,0,9,4
254,Tim Southee,47,20,7,120,36*,9.23,107,112.15,0,0,8,4
255,Aiden Blizzard,6,6,0,120,51,20.0,87,137.93,0,1,21,2
256,Misbah-ul-Haq,8,8,1,117,47*,16.71,81,144.44,0,0,10,6
257,Zaheer Khan,91,32,18,117,23*,8.36,141,82.98,0,0,11,2
258,Kevon Cooper,25,14,5,116,32,12.89,68,170.59,0,0,9,8
259,D'Arcy Short,7,7,0,115,44,16.43,99,116.16,0,0,11,5
260,Ryan Harris,34,19,8,115,17,10.45,107,107.48,0,0,6,3
261,Daniel Harris,4,4,0,111,47,27.75,101,109.9,0,0,11,5
262,Murali Kartik,43,14,8,111,21,18.5,105,105.71,0,0,7,1
263,Rahul Chahar,55,19,6,108,25*,8.31,100,108.0,0,0,10,4
264,Abhinav Manohar,8,7,1,108,43,18.0,75,144.0,0,0,14,3
265,Jacob Oram,15,11,4,106,41*,15.14,105,100.95,0,0,6,5
266,Harpreet Brar,14,9,6,106,25*,35.33,95,111.58,0,0,6,5
267,Srikkanth Anirudha,15,9,3,106,64,17.67,93,113.98,0,1,7,5
268,Luke Wright,6,6,1,106,44,21.2,60,176.67,0,0,16,3
269,Sherfane Rutherford,10,9,2,106,28*,15.14,104,101.92,0,0,3,8
270,Kuldeep Yadav,56,18,11,105,16,15.0,127,82.68,0,0,8,2
271,Yogesh Takawale,5,5,0,104,45,20.8,91,114.29,0,0,17,1
272,Rob Quiney,7,7,0,103,51,14.71,102,100.98,0,1,12,3
273,Manpreet Gony,40,15,6,99,42,11.0,69,143.48,0,0,6,8
274,Siddharth Chitnis,11,8,1,99,38,14.14,89,111.24,0,0,10,2
275,Michael Clarke,6,6,0,98,41,16.33,93,105.38,0,0,12,0
276,Dhawal Kulkarni,78,20,12,98,28*,12.25,103,95.15,0,0,6,2
277,Callum Ferguson,9,8,2,98,23,16.33,117,83.76,0,0,9,0
278,Mohammed Siraj,59,20,13,96,14,13.71,109,88.07,0,0,10,2
279,Mitchell Starc,27,12,5,96,29,13.71,98,97.96,0,0,10,0
280,Pinal Shah,16,10,2,92,29,11.5,91,101.1,0,0,9,2
281,Davy Jacobs,6,6,0,92,32,15.33,88,104.55,0,0,10,4
282,Andrew Tye,27,13,4,91,25,10.11,76,119.74,0,0,6,5
283,Sachin Rana,11,8,4,91,19*,22.75,81,112.35,0,0,9,1
284,Ricky Ponting,10,9,0,91,28,10.11,128,71.09,0,0,5,2
285,Akshdeep Nath,14,10,0,90,24,9.0,98,91.84,0,0,7,2
286,Lasith Malinga,97,23,7,87,17,5.44,98,88.78,0,0,6,5
287,Daniel Vettori,25,13,7,87,20,14.5,81,107.41,0,0,8,2
288,Anustup Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,7,2
289,Ankit Sharma,20,10,3,87,30,12.43,67,129.85,0,0,7,4
290,Iqbal Abdulla,36,10,8,86,33*,43.0,80,107.5,0,0,9,1
291,Mitchell McClenaghan,56,24,11,85,20,6.54,70,121.43,0,0,5,7
292,Richard Levi,6,6,0,83,50,13.83,73,113.7,0,1,10,4
293,Nathan Coulter-Nile,37,16,5,82,24*,7.45,72,113.89,0,0,7,4
294,Shahid Afridi,10,9,1,81,33,10.12,46,176.09,0,0,7,6
295,Lee Carseldine,5,5,1,81,39,20.25,68,119.12,0,0,11,0
296,Chaminda Vaas,13,11,3,81,20,10.12,73,110.96,0,0,2,3
297,Dimitri Mascarenhas,13,11,2,79,27,8.78,78,101.28,0,0,5,1
298,Deepak Chahar,61,12,5,79,39,11.29,57,138.6,0,0,2,6
299,Chris Woakes,21,12,6,78,18,13.0,77,101.3,0,0,7,2
300,Josh Philippe,5,5,1,78,33,19.5,77,101.3,0,0,9,1
301,Ishank Jaggi,7,7,2,76,28,15.2,97,78.35,0,0,6,0
302,Balachandra Akhil,14,11,5,76,27*,12.67,55,138.18,0,0,5,5
303,Travis Birt,5,5,0,75,27,15.0,58,129.31,0,0,9,2
304,Chris Jordan,27,11,3,75,30,9.38,65,115.38,0,0,3,3
305,Ramnaresh Sarwan,4,4,0,73,31,18.25,75,97.33,0,0,6,1
306,Michael Klinger,4,4,0,73,29,18.25,77,94.81,0,0,9,0
307,Ishant Sharma,73,25,17,71,10*,8.88,74,95.95,0,0,5,3
308,Jagadeesha Suchith,21,10,6,70,34*,17.5,61,114.75,0,0,6,3
309,Shashank Singh,10,5,1,69,25*,17.25,47,146.81,0,0,5,4
310,Azhar Bilakhia,7,7,2,69,22,13.8,85,81.18,0,0,5,0
311,Mohammad Shami,77,23,12,69,21,6.27,73,94.52,0,0,5,2
312,Suyash S Prabhudessai,5,5,0,67,34,13.4,59,113.56,0,0,7,2
313,Ramesh Powar,26,10,7,67,28*,22.33,64,104.69,0,0,6,1
314,Lockie Ferguson,30,9,7,67,24*,33.5,45,148.89,0,0,6,2
315,Kyle Jamieson,9,7,3,65,16*,16.25,55,118.18,0,0,5,3
316,Rahul Sharma,31,15,5,64,14*,6.4,64,100.0,0,0,5,3
317,Anirudh Singh,5,4,0,63,40,15.75,66,95.45,0,0,6,1
318,Wayne Parnell,26,13,4,63,16,7.0,75,84.0,0,0,4,1
319,Andrew Flintoff,3,3,1,62,24,31.0,53,116.98,0,0,5,2
320,Jimmy Neesham,12,8,1,61,22,8.71,66,92.42,0,0,3,2
321,Sheldon Jackson,9,8,2,61,16,10.17,57,107.02,0,0,5,1
322,Sreenath Aravind,29,12,8,59,14*,14.75,57,103.51,0,0,7,0
323,Romario Shepherd,3,3,1,58,26*,29.0,41,141.46,0,0,2,5
324,Jasprit Bumrah,100,20,15,56,16*,11.2,58,96.55,0,0,4,1
325,Wilkin Mota,12,8,2,56,25,9.33,75,74.67,0,0,2,0
326,Mahesh Rawat,18,12,7,55,23*,11.0,69,79.71,0,0,4,1
327,Mitchell Santner,10,6,3,54,22,18.0,50,108.0,0,0,3,3
328,Rilee Rossouw,5,5,0,53,24,10.6,51,103.92,0,0,3,3
329,Trent Boult,70,18,13,53,17*,10.6,48,110.42,0,0,2,2
330,Aakash Chopra,7,6,0,53,24,8.83,71,74.65,0,0,7,0
331,Sandeep Sharma,95,24,18,52,9,8.67,63,82.54,0,0,4,0
332,Shoaib Malik,7,5,1,52,24,13.0,47,110.64,0,0,5,0
333,Ravi Rampaul,12,7,2,51,23*,10.2,50,102.0,0,0,3,2
334,Shivam Mavi,32,12,3,51,20,5.67,56,91.07,0,0,4,2
335,Odean Smith,6,6,3,51,25*,17.0,44,115.91,0,0,1,5
336,Arun Karthik,16,8,3,51,19*,10.2,51,100.0,0,0,4,1
337,Prabhsimran Singh,5,5,0,50,16,10.0,55,90.91,0,0,4,2
338,Raiphi Gomez,13,9,4,50,26*,10.0,51,98.04,0,0,5,1
339,RP Singh,53,25,13,50,10,4.17,72,69.44,0,0,2,1
340,Amit Paunikar,4,4,0,49,20,12.25,57,85.96,0,0,9,0
341,Arjun Yadav,8,6,1,49,16,9.8,39,125.64,0,0,5,2
342,Varun Aaron,30,9,6,49,17*,16.33,64,76.56,0,0,2,2
343,Sanjay Bangar,11,7,1,47,17*,7.83,49,95.92,0,0,1,3
344,Yashpal Singh,8,4,0,47,20,11.75,66,71.21,0,0,5,0
345,Ramandeep Singh,5,4,2,45,14*,22.5,40,112.5,0,0,3,1
346,Dwaine Pretorius,6,5,1,44,22,11.0,28,157.14,0,0,3,3
347,Daniel Sams,16,13,4,44,15,4.89,44,100.0,0,0,1,3
